seconds	hex
84.151581	13 0c 0c 00 01 01 00 02 00 00 08 fc 00 03 00 00 09 b0 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4a 01 48 01
84.346019	a5 01 01 21 30 00 00 5a 77 e6 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35
84.351611	00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 09 c4 00 64 00 00 02 b2 00 65 00 00 00 00 00 13 00
84.352120	00 72 00 00 00 00 00 73 01
84.545717	a5 01 01 21 31 00 00 48 54 19 0c 0c 00 74 06 00 95 00 00 00 00 00
84.545811	15 00 00 a4 00 00 bd 00 00 00 00
84.551645	00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
85.144177	a5 01 01 21 32 00 00 18 84 87 0c 0c 00 0c 01 00 11 01 00 65 00 00 00 13
87.341006	a5 01 01 21 33 00 00 42 e0 4c 0c 0c 00 01 01 00 02 00 00 08 fc 00 03 00 00 09 a6 00 05 00 00 0c 01 00 0d 00 00 0e 08 00 11 01 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4a 01 48
87.346500	01
87.535362	a5 01 01 21 34
87.541186	00 00 5a 70 3d 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 08 fc 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 0a 28 00 64 00 00 02 b2
87.547858	00 65 00 00 00 13 00 13 00 00 72 00 00 00 00 00 73 01
87.733908	a5
87.739620	01 01 21 35 00 00 48 76 44 0c 0c 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21
87.739696	00 00 06 40 02 22 00 00 0c 1c 02
87.745220	24 00 02 25 00
